y,x,class
1.1987245772588773e-49,1.1987245772589286e-49,no_correction
5.873214375474305e-37,5.8732143754741375e-37,no_correction
1.0218918564293502e-43,1.0218918564293502e-43,no_correction
6.29264826579681e-45,6.29264826579681e-45,no_correction
1.459762063800846e-46,1.4597620638007835e-46,no_correction
1.9205196720076555e-34,1.9205196720078477e-34,no_correction
7.709533215611074e-40,7.709533215611295e-40,no_correction
5.660159766433474e-44,5.660159766433716e-44,no_correction
6.7794193645903335e-40,6.7794193645892675e-40,no_correction
2.1394947953835948e-40,2.1394947953835948e-40,no_correction
3.3676306804595873e-46,3.3676306804594426e-46,no_correction
1.1308007293162927e-37,1.1308007293162115e-37,no_correction
1.7125250097260179e-40,1.7125250097260179e-40,no_correction
5.406679093770867e-42,5.406679093771099e-42,no_correction
4.743623215863735e-42,4.7436232158629215e-42,no_correction
5.380850983017222e-45,5.3808509830176844e-45,no_correction
1.0097293744849301e-41,1.009729374484887e-41,no_correction
9.095439191143606e-42,9.095439191142956e-42,no_correction
1.575974660186463e-42,1.5759746601866205e-42,no_correction
4.833912276378127e-42,4.833912276378127e-42,no_correction
2.218251347092687e-46,2.218251347092877e-46,no_correction
2.698006774076221e-40,2.6980067740759504e-40,no_correction
4.1536092816240205e-45,4.153609281624197e-45,no_correction
1.095337072399913e-40,1.0953370723998664e-40,no_correction
2.8146405405311207e-44,2.814640540531522e-44,no_correction
2.236155103968888e-48,2.2361551039686002e-48,no_correction
1.7463348628427406e-46,1.7463348628428157e-46,no_correction
7.072886941044526e-43,7.072886941044526e-43,no_correction
4.525187916390645e-45,4.525187916390837e-45,no_correction
1.9439043244362764e-41,1.9439043244362764e-41,no_correction
2.019381314867979e-44,2.019381314867547e-44,no_correction
1.1657680313419082e-48,1.1657680313419082e-48,no_correction
6.584217606323497e-45,6.584217606323214e-45,no_correction
7.19711691517288e-46,7.197116915171752e-46,no_correction
1.675416431150164e-42,1.675416431150164e-42,no_correction
1.727088789754984e-46,1.727088789754984e-46,no_correction
7.304734779806897e-39,7.304734779806896e-39,no_correction
7.041500600285779e-46,7.041500600285779e-46,no_correction
3.8927342733184446e-45,3.8927342733189436e-45,no_correction
1.8510641463404848e-44,1.8510641463403262e-44,no_correction
1.6881845684481658e-40,1.688184568448166e-40,no_correction
3.535565987534775e-43,3.5355659875349264e-43,no_correction
1.1609584263334126e-41,1.1609584263333792e-41,no_correction
1.4647974173874478e-41,1.464797417387406e-41,no_correction
1.3766909539753695e-50,1.3766909539753695e-50,no_correction
1.0918839875578712e-43,1.091883987557778e-43,no_correction
2.206540535905112e-46,2.206540535905018e-46,no_correction
1.7334981531354077e-43,1.7334981531352593e-43,no_correction
1.3537578908080912e-45,1.3537578908080912e-45,no_correction
3.9589266758624244e-49,3.958926675862933e-49,no_correction
4.5969957436390344e-39,4.596995743638838e-39,no_correction
5.0218770576908977e-42,5.0218770576905395e-42,no_correction
1.032514975659987e-42,1.032514975659987e-42,no_correction
1.6782263906395423e-37,1.6782263906394943e-37,no_correction
4.595851251261178e-47,4.595851251260785e-47,no_correction
7.147430804829075e-42,7.147430804828257e-42,no_correction
3.702586580358984e-48,3.702586580358666e-48,no_correction
4.211357750844855e-42,4.211357750844433e-42,no_correction
2.948243652155991e-42,2.948243652155991e-42,no_correction
2.0359072155363956e-40,2.0359072155363956e-40,no_correction
1.9270140892557987e-45,1.9270140892556338e-45,no_correction
1.8767012878467886e-50,1.876701287846628e-50,no_correction
5.493732594114182e-39,5.493732594114339e-39,no_correction
1.1148686048802593e-40,1.1148686048801477e-40,no_correction
5.203155826389227e-46,5.20315582638856e-46,no_correction
1.6468547681357546e-40,1.6468547681357075e-40,no_correction
3.01870710654755e-40,3.0187071065478526e-40,no_correction
2.0474113811407582e-42,2.047411381140671e-42,no_correction
1.5795067399707254e-45,1.5795067399708608e-45,no_correction
1.6368306939093043e-39,1.6368306939092342e-39,no_correction
2.9763279871625127e-43,2.9763279871623853e-43,no_correction
8.967895176209433e-48,8.967895176208662e-48,no_correction
1.1153336494387563e-40,1.1153336494388678e-40,no_correction
4.830433869366746e-47,4.830433869366332e-47,no_correction
7.424683945920636e-48,7.424683945920636e-48,no_correction
5.93027163671896e-47,5.93027163671896e-47,no_correction
4.6457597784530513e-38,4.6457597784530513e-38,no_correction
4.647676326704138e-39,4.647676326704736e-39,no_correction
2.6784642740167845e-41,2.678464274016899e-41,no_correction
9.84859327173994e-50,9.848593271741202e-50,no_correction
1.1230417938442178e-47,1.1230417938442178e-47,no_correction
3.1590687500530544e-42,3.1590687500530544e-42,no_correction
2.763046001869452e-47,2.7630460018691763e-47,no_correction
3.7824961205994195e-40,3.782496120599257e-40,no_correction
1.152217521751002e-42,1.1522175217510845e-42,no_correction
4.402929017750169e-40,4.402929017750044e-40,no_correction
4.051210957785763e-41,4.0512109577858793e-41,no_correction
3.241286641060702e-47,3.2412866410610255e-47,no_correction
5.502115445819431e-42,5.502115445819274e-42,no_correction
2.9669080131164287e-46,2.9669080131166823e-46,no_correction
2.345212944238192e-43,2.3452129442380913e-43,no_correction
1.0811654972333307e-44,1.0811654972334389e-44,no_correction
2.99706218139205e-42,2.9970621813919633e-42,no_correction
7.348242215080341e-40,7.348242215080027e-40,no_correction
4.66138797733655e-36,4.66138797733655e-36,no_correction
1.324441684172337e-41,1.324441684172261e-41,no_correction
4.222995732703087e-45,4.222995732703449e-45,no_correction
5.842601563561153e-37,5.8426015635607355e-37,no_correction
4.825992992098939e-47,4.825992992098939e-47,no_correction
3.032424441748547e-44,3.032424441748547e-44,no_correction
4.1597416065211844e-48,4.1597416065215405e-48,no_correction
2.6833124583566603e-39,2.6833124583570058e-39,no_correction
2.50531969059876e-48,2.50531969059876e-48,no_correction
7.403654805173514e-44,7.403654805172244e-44,no_correction
1.8248873640978397e-43,1.8248873640975274e-43,no_correction
1.244051671515977e-47,1.24405167151603e-47,no_correction
1.9871319808703704e-46,1.9871319808702856e-46,no_correction
1.2391938838291222e-41,1.2391938838291222e-41,no_correction
1.0960208719163404e-44,1.0960208719161528e-44,no_correction
4.7972443104617314e-43,4.797244310461116e-43,no_correction
1.0410362258135135e-44,1.0410362258135135e-44,no_correction
2.6054716930117974e-36,2.605471693011872e-36,no_correction
2.2471871887291978e-51,2.24718718872939e-51,no_correction
2.5455227039511865e-41,2.545522703951295e-41,no_correction
1.203616980783107e-46,1.2036169807831412e-46,no_correction
1.3144335506500275e-42,1.3144335506498584e-42,no_correction
